date,rainfall_mm,sunshine_MJ_daym2,tmax_C,tmed_C,tmin_C,windspeed_m_s,pvpc_eur_MWh,prod_cost_eur_MWh
2014-04-01,4.70530612244898,4.004255319148935,18.084274193548392,13.680645161290329,9.268951612903225,4.28818565400844,64.58517174500001,33.25571
2014-04-02,6.861316872427984,1.8695652173913035,15.859274193548396,12.467741935483875,9.07620967741936,3.368644067796611,79.11227466166666,46.07404333333333
2014-04-03,4.871255060728745,4.05251798561151,14.543650793650787,11.240476190476189,7.938888888888885,3.8906779661016953,76.01785091166668,43.50154333333334
2014-04-04,1.3354838709677423,6.686666666666667,16.576984126984133,12.110714285714295,7.638492063492063,3.982700421940927,53.80946632833334,23.629459999999995
2014-04-05,0.29592760180995475,6.750364963503648,20.21264822134387,15.401976284584984,10.5905138339921,2.90337552742616,64.498917995,33.124876666666665
2014-04-06,0.032661290322580645,10.237226277372267,22.76336206896552,16.24655172413794,9.723706896551727,2.426495726495727,69.080872995,37.221126666666656
2014-04-07,0.2884462151394422,9.530434782608696,22.986800000000013,16.470400000000005,9.954000000000002,2.566666666666665,80.02109091166669,46.896543333333334
2014-04-08,0.035039370078740154,9.74676258992806,22.26692913385827,16.09803149606298,9.928740157480314,2.418750000000001,81.53742466166666,48.31196
2014-04-09,0.17103174603174606,9.426811594202892,23.18119999999998,16.4504,9.720000000000004,2.5148936170212743,77.78464341166666,44.88904333333334
2014-04-10,1.022529644268774,8.533576642335769,24.10360000000001,17.496,10.8856,2.6740425531914904,77.84576757833334,45.02112666666668
2014-04-11,0.6119047619047616,7.133571428571429,22.371653543307087,16.990157480314952,11.609055118110238,2.8683982683982685,72.62788549499999,40.41821
2014-04-12,0.7749999999999996,7.759854014598541,20.248031496063,15.234645669291327,10.216929133858264,2.8722222222222222,56.33677466166666,25.913210000000007
2014-04-13,0.0956521739130435,10.531884057971014,22.787937743190664,16.249416342412463,9.708560311284053,2.540425531914896,57.71560466166667,27.09696
2014-04-14,0.08735177865612649,8.611194029850749,22.64743083003953,16.488142292490114,10.324901185770747,2.5553648068669514,71.26434507833333,39.12321000000001
2014-04-15,0.3707509881422923,8.325547445255477,23.24484126984127,17.248809523809527,11.252380952380948,1.9978448275862075,83.80996924499998,50.32487666666666
2014-04-16,0.07159999999999997,10.603623188405797,23.99274193548388,17.191935483870974,10.38870967741936,1.9716738197424877,83.59131966166666,50.15404333333333
2014-04-17,0.004819277108433735,10.56397058823529,23.87370517928288,17.22430278884461,10.578486055776892,2.304680851063829,69.360800495,37.56362666666667
2014-04-18,0.03709677419354839,10.501481481481482,23.670682730923694,16.790361445783127,9.913253012048196,2.61111111111111,70.12194841166668,38.190293333333344
2014-04-19,3.322764227642278,5.938970588235294,21.18130081300812,15.919512195121953,10.654065040650414,3.2410480349344986,70.46404216166667,38.46029333333333
2014-04-20,5.0315573770491815,4.767883211678831,17.412903225806456,13.709274193548387,10.011290322580637,3.0883116883116877,63.583439245,32.31487666666667
2014-04-21,4.386384976525823,4.8508196721311485,17.51586538461539,13.457211538461536,9.399038461538463,2.7578947368421045,78.55749341166667,45.66237666666667
2014-04-22,0.9110204081632652,7.704379562043798,19.07387755102041,14.069795918367342,9.067755102040824,3.139737991266375,74.3404725783333,41.93779333333333
2014-04-23,0.7097959183673467,8.642753623188403,20.09632653061223,14.694693877551027,9.287346938775508,2.9283261802575105,83.28590382833336,49.83279333333334
2014-04-24,3.507883817427388,6.660144927536233,18.60495867768596,13.807024793388429,9.003305785123963,3.758260869565218,76.26953966166667,43.77737666666666
2014-04-25,1.8291666666666664,9.047826086956524,17.58842975206612,12.648347107438012,7.7074380165289185,4.262114537444932,54.43304216166667,24.22154333333333
2014-04-26,1.1203252032520326,6.935338345864662,19.69959183673468,14.542857142857148,9.382448979591832,3.9682608695652166,52.65654632833333,22.657376666666664
2014-04-27,0.5869918699186991,9.867164179104476,19.971370967741922,14.492741935483876,9.022177419354838,3.995726495726496,57.42872424500001,26.88696
2014-04-28,0.5412244897959182,8.899248120300754,21.506072874493928,15.787044534412962,10.072469635627533,3.300865800865801,80.18227216166667,47.09446000000001
2014-04-29,0.6207317073170731,9.172992700729926,22.197983870967754,16.297967479674803,10.395528455284552,2.7919148936170206,80.23970632833333,47.18529333333333
2014-04-30,0.3522448979591837,8.922627737226279,22.471544715447155,16.843089430894313,11.212195121951225,2.7944444444444443,82.22877007833333,48.95404333333334
2014-05-01,0.29798387096774204,9.910869565217386,22.559599999999996,16.79200000000001,11.024000000000012,2.9851063829787248,74.400827995,42.032793333333345
2014-05-02,0.2182926829268293,10.314492753623188,21.38902439024389,16.01626016260163,10.646341463414627,3.9004329004329032,69.558471745,37.687793333333346
2014-05-03,0.01747967479674797,11.67058823529412,21.677777777777788,15.43306772908366,9.182071713147408,3.6470085470085483,71.88757924500003,39.71446000000001
2014-05-04,0.004453441295546559,12.027007299270071,23.188446215139443,15.830677290836649,8.480079681274903,2.7279661016949155,83.800897995,50.25696
2014-05-05,0.012244897959183671,10.972463768115942,24.933333333333355,17.30722891566265,9.681124497991963,2.889743589743589,90.75646257833334,56.52862666666666
2014-05-06,0.03833333333333334,7.8927536231884075,24.38097165991902,18.116194331983817,11.857085020242915,2.8549356223175955,91.28228757833334,56.97487666666667
2014-05-07,0.019262295081967213,8.131884057971012,24.358367346938763,18.28897959183672,12.220000000000002,2.3915611814345974,94.71738716166664,60.01612666666667
2014-05-08,0.07530364372469635,9.64028776978417,24.73024193548387,18.74153225806451,12.756854838709685,2.777310924369745,92.86842382833332,58.39070999999999
2014-05-09,0.014516129032258069,9.946762589928058,25.37290836653388,19.240239043824694,13.11713147410358,2.6131914893617023,96.079885495,61.21154333333333
2014-05-10,0.4204819277108436,9.77794117647059,26.24822134387352,19.75177865612648,13.26403162055336,2.7822784810126566,92.27291591166666,57.88612666666669
2014-05-11,0.016867469879518072,10.001470588235302,24.432399999999987,18.789600000000007,13.140000000000004,3.0544680851063837,86.95620674500002,53.16404333333333
2014-05-12,0.5056910569105691,9.68321167883212,23.629718875502004,17.599196787148603,11.561847389558235,3.0012875536480657,91.30372716166666,57.03529333333334
2014-05-13,0.12113821138211385,10.209558823529406,21.651792828685263,16.182071713147415,10.712350597609557,3.595744680851067,82.39203549499999,49.06654333333333
2014-05-14,0.0,11.272262773722625,22.928458498023705,16.321343873517794,9.711462450592883,3.6936708860759504,84.63171174499998,50.97737666666666
