,date,rainfall_mm,sunshine_MJ_daym2,tmax_C,tmed_C,tmin_C,windspeed_m_s
0,2014-04-01,4.70530612244898,4.004255319148935,18.08427419354839,13.680645161290327,9.268951612903225,4.28818565400844
1,2014-04-02,6.861316872427984,1.8695652173913035,15.859274193548394,12.467741935483874,9.07620967741936,3.368644067796611
2,2014-04-03,4.871255060728745,4.05251798561151,14.543650793650789,11.240476190476189,7.9388888888888856,3.8906779661016953
3,2014-04-04,1.3354838709677423,6.686666666666668,16.576984126984133,12.110714285714295,7.6384920634920634,3.982700421940927
4,2014-04-05,0.29592760180995475,6.750364963503647,20.21264822134387,15.401976284584984,10.5905138339921,2.9033755274261597
5,2014-04-06,0.032661290322580645,10.237226277372267,22.76336206896552,16.24655172413794,9.723706896551727,2.426495726495727
6,2014-04-07,0.2884462151394422,9.530434782608696,22.986800000000017,16.470400000000005,9.954000000000002,2.566666666666665
7,2014-04-08,0.035039370078740154,9.74676258992806,22.26692913385827,16.09803149606298,9.928740157480314,2.418750000000001
8,2014-04-09,0.17103174603174606,9.426811594202892,23.18119999999998,16.4504,9.720000000000004,2.5148936170212743
9,2014-04-10,1.0225296442687741,8.533576642335767,24.10360000000001,17.496,10.8856,2.6740425531914904
10,2014-04-11,0.6119047619047616,7.133571428571429,22.371653543307087,16.990157480314952,11.609055118110238,2.8683982683982685
11,2014-04-12,0.7749999999999996,7.759854014598541,20.248031496062996,15.234645669291327,10.216929133858265,2.8722222222222222
12,2014-04-13,0.0956521739130435,10.531884057971014,22.787937743190664,16.249416342412463,9.708560311284053,2.5404255319148956
13,2014-04-14,0.08735177865612649,8.611194029850749,22.64743083003953,16.488142292490117,10.324901185770747,2.5553648068669514
14,2014-04-15,0.3707509881422923,8.325547445255477,23.244841269841267,17.24880952380953,11.25238095238095,1.9978448275862073
15,2014-04-16,0.07159999999999998,10.603623188405797,23.992741935483878,17.191935483870974,10.38870967741936,1.9716738197424875
16,2014-04-17,0.0048192771084337345,10.56397058823529,23.87370517928288,17.22430278884461,10.578486055776892,2.304680851063829
17,2014-04-18,0.037096774193548385,10.501481481481482,23.670682730923698,16.790361445783127,9.913253012048195,2.61111111111111
18,2014-04-19,3.3227642276422786,5.938970588235294,21.18130081300812,15.919512195121953,10.654065040650414,3.241048034934499
19,2014-04-20,5.031557377049181,4.767883211678831,17.412903225806456,13.709274193548387,10.011290322580637,3.088311688311688
20,2014-04-21,4.386384976525824,4.850819672131149,17.51586538461539,13.457211538461536,9.399038461538465,2.7578947368421045
21,2014-04-22,0.9110204081632651,7.704379562043798,19.07387755102041,14.069795918367342,9.067755102040824,3.139737991266375
22,2014-04-23,0.7097959183673467,8.642753623188403,20.09632653061223,14.694693877551027,9.287346938775507,2.9283261802575105
23,2014-04-24,3.5078838174273876,6.660144927536234,18.60495867768596,13.80702479338843,9.003305785123963,3.758260869565218
24,2014-04-25,1.8291666666666666,9.047826086956524,17.58842975206612,12.648347107438012,7.707438016528919,4.262114537444932
25,2014-04-26,1.1203252032520326,6.935338345864663,19.699591836734676,14.542857142857148,9.382448979591832,3.9682608695652166
26,2014-04-27,0.5869918699186991,9.867164179104476,19.971370967741922,14.492741935483874,9.022177419354838,3.995726495726496
27,2014-04-28,0.5412244897959182,8.899248120300754,21.506072874493924,15.78704453441296,10.072469635627533,3.300865800865801
28,2014-04-29,0.6207317073170731,9.172992700729926,22.197983870967754,16.297967479674803,10.395528455284552,2.7919148936170206
29,2014-04-30,0.35224489795918373,8.922627737226279,22.471544715447155,16.843089430894313,11.212195121951225,2.7944444444444443
30,2014-05-01,0.297983870967742,9.910869565217387,22.559599999999993,16.79200000000001,11.024000000000012,2.9851063829787248
31,2014-05-02,0.2182926829268293,10.314492753623187,21.38902439024389,16.01626016260163,10.646341463414627,3.900432900432903
32,2014-05-03,0.017479674796747967,11.670588235294119,21.677777777777784,15.43306772908366,9.182071713147408,3.647008547008548
33,2014-05-04,0.004453441295546559,12.027007299270071,23.188446215139436,15.830677290836649,8.480079681274903,2.727966101694915
34,2014-05-05,0.012244897959183673,10.972463768115942,24.933333333333355,17.30722891566265,9.681124497991965,2.8897435897435892
35,2014-05-06,0.03833333333333334,7.892753623188407,24.38097165991902,18.116194331983817,11.857085020242915,2.8549356223175955
36,2014-05-07,0.019262295081967213,8.131884057971012,24.35836734693876,18.288979591836718,12.220000000000002,2.3915611814345974
37,2014-05-08,0.07530364372469635,9.64028776978417,24.730241935483868,18.74153225806451,12.756854838709685,2.777310924369745
38,2014-05-09,0.014516129032258067,9.946762589928055,25.37290836653388,19.240239043824698,13.11713147410358,2.6131914893617023
39,2014-05-10,0.4204819277108436,9.77794117647059,26.248221343873517,19.75177865612648,13.26403162055336,2.7822784810126566
40,2014-05-11,0.016867469879518072,10.0014705882353,24.432399999999983,18.789600000000007,13.140000000000006,3.054468085106383
41,2014-05-12,0.5056910569105691,9.683211678832121,23.629718875502004,17.5991967871486,11.561847389558235,3.0012875536480657
42,2014-05-13,0.12113821138211385,10.209558823529406,21.651792828685267,16.182071713147415,10.712350597609555,3.595744680851067
43,2014-05-14,0.0,11.272262773722625,22.928458498023705,16.321343873517794,9.711462450592883,3.6936708860759504
44,2014-05-15,0.00040160642570281126,12.131386861313867,24.044841269841267,17.36428571428571,10.682142857142859,3.770464135021097
45,2014-05-16,0.0004,12.47794117647059,23.45116279069768,17.006201550387587,10.56317829457364,3.8474999999999997
46,2014-05-17,0.05645161290322581,11.67080291970803,23.183657587548648,16.3953125,9.604296874999994,3.38781512605042
47,2014-05-18,0.2368852459016393,9.735036496350366,23.474103585657375,16.8508,10.227199999999996,2.8669491525423716
48,2014-05-19,2.2556910569105693,7.745255474452552,21.87469879518072,16.364919354838708,10.856854838709676,4.024255319148936
49,2014-05-20,4.946122448979589,5.657971014492753,19.907450980392152,15.53882352941176,11.17058823529411,3.3897872340425548
50,2014-05-21,4.097177419354843,6.302158273381297,19.44921875,15.192941176470592,10.951764705882347,4.72542372881356
51,2014-05-22,2.5502008032128534,6.425000000000002,19.144140625000006,14.585546875000011,10.022656249999994,4.199578059071729
52,2014-05-23,0.8583999999999997,8.45255474452555,19.49648437499999,14.262352941176474,9.041960784313721,3.8180672268907543
53,2014-05-24,2.234677419354839,7.0742647058823565,19.78196078431372,14.269411764705888,8.755686274509802,2.9329113924050634
54,2014-05-25,2.569918699186993,8.171111111111113,19.650000000000006,14.641269841269834,9.632936507936508,3.103418803418804
55,2014-05-26,0.8020920502092047,9.099248120300752,20.557199999999998,14.718799999999998,8.880000000000003,3.151931330472102
56,2014-05-27,1.7183673469387757,7.490510948905108,21.068924302788822,15.671200000000002,10.28,2.9953389830508463
57,2014-05-28,3.518699186991871,4.503703703703702,19.88690476190477,15.759362549800798,11.662948207171318,3.5661016949152544
58,2014-05-29,1.5329268292682927,7.310218978102193,21.519762845849815,16.101581027667994,10.685375494071144,3.156066945606698
59,2014-05-30,0.9967611336032389,8.183823529411764,21.71102362204724,16.753937007874015,11.792519685039377,3.433333333333333
60,2014-05-31,1.4548387096774187,7.9812949640287725,21.180708661417327,16.0736220472441,10.962598425196855,3.53595041322314
61,2014-06-01,0.3478260869565218,8.901438848920865,22.224206349206344,16.52261904761905,10.822222222222218,3.4012605042016832
62,2014-06-02,0.027125506072874495,11.07226277372263,24.05220883534137,17.585140562248995,11.117269076305218,2.9652542372881343
63,2014-06-03,0.22650602409638554,11.170289855072467,25.464143426294818,18.721912350597616,11.98007968127489,3.0472573839662456
64,2014-06-04,0.24838709677419357,9.729927007299274,23.86666666666665,18.299999999999994,12.730952380952385,3.4576271186440657
65,2014-06-05,0.8644,9.879259259259259,25.372799999999984,18.70280000000001,12.0284,3.11772151898734
66,2014-06-06,1.2557768924302783,7.445652173913044,26.868253968253978,20.848412698412723,14.825793650793656,4.014767932489452
67,2014-06-07,0.3289156626506024,10.447101449275364,25.989999999999984,20.20481927710844,14.39196787148595,3.3669491525423734
68,2014-06-08,0.2215139442231076,10.88248175182482,26.858333333333324,20.371428571428563,13.88531746031746,2.9755274261603386
69,2014-06-09,0.4210317460317459,9.726086956521737,26.443253968253956,20.42619047619047,14.404365079365078,3.2453781512605056
70,2014-06-10,0.4505928853754941,8.794890510948903,26.023107569721123,19.954980079681267,13.888047808764945,2.602928870292886
71,2014-06-11,0.8158102766798417,10.035251798561148,28.370682730923694,21.822580645161295,15.300806451612909,2.7706382978723387
72,2014-06-12,0.41106719367588934,10.989855072463765,29.989370078740148,23.13858267716535,16.29409448818898,2.644769874476987
73,2014-06-13,0.209765625,10.686956521739129,30.41383399209485,23.528174603174605,16.63888888888889,2.6325
74,2014-06-14,0.4568627450980392,11.68057553956834,29.370078740157485,22.926771653543305,16.47795275590551,3.3954166666666654
75,2014-06-15,0.05450980392156862,11.574820143884894,26.76023622047244,21.07874015748031,15.396850393700792,3.9602510460251046
76,2014-06-16,0.6681451612903226,10.147058823529413,25.170040485829947,19.51781376518217,13.869354838709683,3.4218487394957986
77,2014-06-17,1.0502008032128514,10.766666666666666,25.970901639344266,19.769262295081973,13.571721311475402,3.010729613733905
78,2014-06-18,0.40275590551181095,10.859854014598536,26.57871485943776,20.18393574297187,13.792369477911652,2.8071428571428556
79,2014-06-19,0.11106719367588935,9.719565217391303,27.00756972111554,20.932669322709152,14.854581673306763,2.8682203389830527
80,2014-06-20,1.752988047808765,9.747826086956522,27.808606557377054,21.740573770491796,15.667622950819686,2.9424892703862664
81,2014-06-21,0.716465863453815,10.282089552238807,27.099999999999987,21.321951219512176,15.54065040650407,2.9914163090128745
82,2014-06-22,1.041935483870968,8.843478260869565,26.740163934426214,20.997131147540976,15.254098360655735,2.681304347826086
83,2014-06-23,3.6881355932203395,8.648739495798317,26.656066945606696,21.03765690376568,15.414644351464434,2.844978165938864
84,2014-06-24,5.352320675105486,4.414179104477612,22.918595041322316,18.95041322314051,14.980578512396697,2.985964912280704
85,2014-06-25,0.964634146341463,7.340441176470588,24.633061224489808,19.565306122448977,14.490204081632651,3.246153846153849
86,2014-06-26,0.4273469387755102,9.308148148148147,25.872800000000005,20.453199999999992,15.028000000000002,2.8225531914893613
87,2014-06-27,0.8254032258064514,10.704411764705878,27.400404858299588,21.083805668016183,14.765182186234812,2.825316455696203
88,2014-06-28,0.9163346613545816,9.694964028776974,27.517460317460326,21.447222222222223,15.373809523809534,3.8886554621848717
89,2014-06-29,0.31720000000000004,10.747101449275359,25.397222222222215,19.881746031746054,14.373412698412702,3.7907949790794992
90,2014-06-30,0.5844,11.078260869565216,27.026104417670656,20.217670682730926,13.407228915662651,3.114767932489453
