,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
0,2014-04-01,2.0.DHA,64.58517174500001,33.25571
1,2014-04-01,2.0.DHS,64.91869533666669,33.36946
2,2014-04-01,2.0A,87.1874494,37.86004333333333
3,2014-04-02,2.0.DHA,79.11227466166666,46.07404333333333
4,2014-04-02,2.0.DHS,79.55841950333333,46.18779333333334
5,2014-04-02,2.0A,101.8003494,50.67837666666667
6,2014-04-03,2.0.DHA,76.01785091166668,43.50154333333334
7,2014-04-03,2.0.DHS,76.45076450333333,43.61529333333334
8,2014-04-03,2.0A,98.86769939999999,48.10587666666666
9,2014-04-04,2.0.DHA,53.809466328333336,23.629459999999995
10,2014-04-04,2.0.DHS,54.00993533666667,23.743209999999994
11,2014-04-04,2.0A,76.21352440000001,28.233793333333328
12,2014-04-05,2.0.DHA,64.498917995,33.124876666666665
13,2014-04-05,2.0.DHS,64.77203033666667,33.23862666666666
14,2014-04-05,2.0A,87.03829940000001,37.72921
15,2014-04-06,2.0.DHA,69.080872995,37.22112666666666
16,2014-04-06,2.0.DHS,69.33922533666666,37.33487666666668
17,2014-04-06,2.0A,91.7080244,41.82545999999999
18,2014-04-07,2.0.DHA,80.02109091166668,46.896543333333334
19,2014-04-07,2.0.DHS,80.46741533666666,47.01029333333333
20,2014-04-07,2.0A,102.73799940000002,51.50087666666666
21,2014-04-08,2.0.DHA,81.53742466166666,48.31196
22,2014-04-08,2.0.DHS,81.93884867000001,48.42570999999999
23,2014-04-08,2.0A,104.3515744,52.91629333333333
24,2014-04-09,2.0.DHA,77.78464341166666,44.88904333333334
25,2014-04-09,2.0.DHS,78.20432783666666,45.00279333333333
26,2014-04-09,2.0A,100.4494494,49.49337666666667
27,2014-04-10,2.0.DHA,77.84576757833334,45.021126666666675
28,2014-04-10,2.0.DHS,78.19937450333335,45.13487666666668
29,2014-04-10,2.0A,100.6000244,49.62546
30,2014-04-11,2.0.DHA,72.62788549499999,40.418209999999995
31,2014-04-11,2.0.DHS,72.94779116999999,40.53196
32,2014-04-11,2.0A,95.3526994,45.022543333333324
33,2014-04-12,2.0.DHA,56.33677466166666,25.913210000000003
34,2014-04-12,2.0.DHS,56.53005367,26.026960000000003
35,2014-04-12,2.0A,78.8169994,30.517543333333332
36,2014-04-13,2.0.DHA,57.71560466166667,27.09696
37,2014-04-13,2.0.DHS,57.905583670000006,27.210710000000002
38,2014-04-13,2.0A,80.16647439999998,31.70129333333333
39,2014-04-14,2.0.DHA,71.26434507833333,39.12321000000001
40,2014-04-14,2.0.DHS,71.66594450333334,39.23696
41,2014-04-14,2.0A,93.87639940000001,43.72754333333333
42,2014-04-15,2.0.DHA,83.80996924499998,50.32487666666666
43,2014-04-15,2.0.DHS,84.19635200333333,50.438626666666664
44,2014-04-15,2.0A,106.64629939999999,54.929210000000005
45,2014-04-16,2.0.DHA,83.59131966166666,50.15404333333333
46,2014-04-16,2.0.DHS,83.96473533666666,50.267793333333316
47,2014-04-16,2.0A,106.45154940000003,54.758376666666656
48,2014-04-17,2.0.DHA,69.360800495,37.56362666666667
49,2014-04-17,2.0.DHS,69.63385783666666,37.67737666666667
50,2014-04-17,2.0A,92.0984744,42.16796
51,2014-04-18,2.0.DHA,70.12194841166668,38.19029333333334
52,2014-04-18,2.0.DHS,70.37290617000001,38.30404333333333
53,2014-04-18,2.0A,92.8128744,42.794626666666666
54,2014-04-19,2.0.DHA,70.46404216166667,38.46029333333333
55,2014-04-19,2.0.DHS,70.76782950333332,38.57404333333334
56,2014-04-19,2.0A,93.1206744,43.06462666666666
57,2014-04-20,2.0.DHA,63.583439245,32.31487666666667
58,2014-04-20,2.0.DHS,63.84696283666667,32.428626666666666
